City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,samarinda,-0.5,117.15,296.68,99,100,0.9,ID,1683497390
317,yura,-16.2522,-71.6797,289.51,46,90,2.9,PE,1683497390
318,hadibu,12.65,54.0333,301.47,55,2,1.85,YE,1683497390
319,tshikapa,-6.4167,20.8,296.4,82,13,0.78,CD,1683497390
320,ivanteyevka,55.9711,37.9208,276.04,75,9,1.95,RU,1683497390
321,santa cruz,-17.8,-63.1667,295.18,88,100,2.06,BO,1683497234
322,mossel bay,-34.1831,22.146,288.11,84,3,5.52,ZA,1683497102
323,waspan,14.7419,-83.9717,304.89,47,100,4.63,NI,1683497390
324,ugoofaaru,5.6667,73.0,302.02,74,70,6.37,MV,1683497391
325,mount pearl,47.5166,-52.7813,280.07,67,96,3.13,CA,1683497391
326,kirakira,-10.4544,161.9205,301.57,79,99,3.0,SB,1683497391
327,letterkenny,54.95,-7.7333,286.0,97,100,5.52,IE,1683497391
328,pimentel,-6.8367,-79.9342,300.31,69,0,9.26,PE,1683497391
329,san mariano,7.5,126.0,296.64,95,90,1.16,PH,1683497392
330,novoagansk,61.9449,76.6625,284.7,63,65,6.67,RU,1683497392
331,ceerigaabo,10.6162,47.368,293.05,37,89,2.94,SO,1683497392
332,cihanbeyli,38.6607,32.9244,283.33,75,73,4.54,TR,1683497392
333,pajapan,18.25,-94.7,300.24,43,17,5.0,MX,1683497393
334,al burayqah,30.4062,19.5739,291.96,72,77,4.18,LY,1683497393
335,prado,-17.3411,-39.2208,296.82,85,4,3.97,BR,1683497394
336,saryozek,44.3583,77.9753,280.42,49,28,0.44,KZ,1683497394
337,kalmunai,7.4167,81.8167,298.61,81,100,1.9,LK,1683497394
338,san clemente,33.427,-117.612,297.18,70,14,2.68,US,1683497300
339,kutum,14.2,24.6667,299.04,14,66,3.19,SD,1683497395
340,sarandi del yi,-33.35,-55.6333,287.13,82,100,2.66,UY,1683497395
341,ancud,-41.8697,-73.8203,281.98,83,54,1.24,CL,1683497318
342,darwin,-12.4611,130.8418,296.14,56,0,5.14,AU,1683497284
343,aykhal,66.0,111.5,259.77,93,86,2.38,RU,1683497395
344,praia,14.9215,-23.5087,296.45,73,20,7.72,CV,1683497395
345,obo,5.3998,26.4869,295.93,75,99,0.46,CF,1683497395
346,north bend,43.4065,-124.2243,286.96,76,100,5.14,US,1683497395
347,onega,63.9061,38.1404,271.82,81,11,1.82,RU,1683497301
348,galle,6.0367,80.217,299.75,84,100,4.55,LK,1683497396
349,hermanus,-34.4187,19.2345,287.77,84,18,4.76,ZA,1683497289
350,labuan,5.2767,115.2417,300.93,75,99,2.64,MY,1683497310
351,at taj,24.2049,23.2857,293.35,30,6,4.09,LY,1683497396
352,paracuru,-3.41,-39.0306,301.54,78,83,3.83,BR,1683497212
353,egilsstadir,65.2653,-14.3948,281.24,95,99,2.95,IS,1683497317
354,haiku-pauwela,20.9219,-156.3051,300.16,58,20,9.26,US,1683497316
355,porto novo,6.4965,2.6036,300.61,76,98,2.56,BJ,1683497397
356,vorkuta,67.5,64.0,265.3,89,100,7.43,RU,1683497314
357,antsiranana,-12.2787,49.2917,297.65,77,3,5.97,MG,1683497141
358,tuy hoa,13.0833,109.3,298.13,86,100,2.52,VN,1683497397
359,roma,43.2128,-75.4557,293.23,37,75,2.57,US,1683497397
360,sinjai,-5.1241,120.253,297.24,92,91,1.75,ID,1683497397
361,matoury,4.8483,-52.3317,298.13,100,75,1.03,GF,1683497398
362,bobrovskiy,56.6732,60.9807,275.24,55,0,7.0,RU,1683497398
363,china,25.7,-99.2333,311.61,22,99,2.3,MX,1683497398
